x, y, z, phi1, phi2
-0.0396875, -0.0396875, 1e-12, 4.25613289174566, -0.00167737706565569
-0.0390625, -0.0396875, 1e-12, 4.25894520143082, -0.00167941936446075
-0.0384375, -0.0396875, 1e-12, 4.26230811357497, -0.00168349560866551
-0.0378125, -0.0396875, 1e-12, 4.26568119544849, -0.00168958904142309
-0.0371875, -0.0396875, 1e-12, 4.26906845619, -0.00169767440302046
-0.0365625, -0.0396875, 1e-12, 4.27247384576875, -0.00170771778354087
-0.0359375, -0.0396875, 1e-12, 4.27590123749098, -0.00171967642964565
-0.0353125, -0.0396875, 1e-12, 4.27935441007702, -0.00173349850840686
-0.0346875, -0.0396875, 1e-12, 4.28283702922653, -0.00174912283177444
-0.0340625, -0.0396875, 1e-12, 4.28635262859782, -0.00176647854614577
-0.0334375, -0.0396875, 1e-12, 4.28990459013664, -0.00178548479230923
-0.0328125, -0.0396875, 1e-12, 4.29349612370135, -0.00180605034191826
-0.0321875, -0.0396875, 1e-12, 4.29713024594468, -0.00182807321764791
-0.0315625, -0.0396875, 1e-12, 4.30080975842745, -0.00185144030500216
-0.0309375, -0.0396875, 1e-12, 4.30453722495658, -0.00187602696491312
-0.0303125, -0.0396875, 1e-12, 4.30831494815915, -0.00190169665715875
-0.0296875, -0.0396875, 1e-12, 4.3121449453251, -0.00192830058565613
-0.0290625, -0.0396875, 1e-12, 4.31602892357449, -0.00195567737781009
-0.0284375, -0.0396875, 1e-12, 4.31996825443056, -0.00198365281093252
-0.0278125, -0.0396875, 1e-12, 4.32396394790663, -0.0020120395997701
-0.0271875, -0.0396875, 1e-12, 4.32801662624404, -0.00204063726001623
-0.0265625, -0.0396875, 1e-12, 4.33212649746859, -0.00206923206331559
-0.0259375, -0.0396875, 1e-12, 4.33629332896464, -0.0020975970999762
-0.0253125, -0.0396875, 1e-12, 4.34051642129878, -0.00212549246579622
-0.0246875, -0.0396875, 1e-12, 4.34479458255789, -0.00215266558967035
-0.0240625, -0.0396875, 1e-12, 4.34912610349969, -0.00217885171833521
-0.0234375, -0.0396875, 1e-12, 4.35350873384571, -0.00220377457420526
-0.0228125, -0.0396875, 1e-12, 4.35793966007826, -0.00222714720121177
-0.0221875, -0.0396875, 1e-12, 4.36241548513061, -0.00224867301236316
-0.0215625, -0.0396875, 1e-12, 4.36693221038607, -0.00226804705077854
-0.0209375, -0.0396875, 1e-12, 4.3714852204222, -0.00228495747378096
-0.0203125, -0.0396875, 1e-12, 4.37606927095305, -0.00229908726666976
-0.0396875, -0.0390625, 1e-12, 4.25613084528274, -0.00503008474306454
-0.0390625, -0.0390625, 1e-12, 4.25893907037026, -0.00503621996773768
-0.0384375, -0.0390625, 1e-12, 4.26229792295178, -0.00504846540727631
-0.0378125, -0.0390625, 1e-12, 4.26566698715498, -0.00506677089121336
-0.0371875, -0.0390625, 1e-12, 4.26905028922429, -0.00509106078884004
-0.0365625, -0.0390625, 1e-12, 4.27245179657778, -0.00512123356500214
-0.0359375, -0.0390625, 1e-12, 4.27587540040317, -0.00515716119766917
-0.0353125, -0.0390625, 1e-12, 4.27932489781795, -0.00519868846577919
-0.0346875, -0.0390625, 1e-12, 4.28280397350977, -0.00524563211823611
-0.0340625, -0.0390625, 1e-12, 4.28631618078109, -0.00529777993735768
-0.0334375, -0.0390625, 1e-12, 4.28986492193204, -0.00535488971252739
-0.0328125, -0.0390625, 1e-12, 4.29345342792627, -0.0054166881425985
-0.0321875, -0.0390625, 1e-12, 4.29708473729839, -0.00548286968824386
-0.0315625, -0.0390625, 1e-12, 4.30076167427623, -0.00555309539840812
-0.0309375, -0.0390625, 1e-12, 4.30448682610829, -0.00562699173800805
-0.0303125, -0.0390625, 1e-12, 4.30826251960613, -0.00570414944708025
-0.0296875, -0.0390625, 1e-12, 4.31209079693212, -0.00578412246459141
-0.0290625, -0.0390625, 1e-12, 4.31597339068658, -0.00586642695333192
-0.0284375, -0.0390625, 1e-12, 4.31991169837355, -0.00595054046513279
-0.0278125, -0.0390625, 1e-12, 4.32390675635137, -0.00603590128855717
-0.0271875, -0.0390625, 1e-12, 4.32795921340387, -0.00612190802373566
-0.0265625, -0.0390625, 1e-12, 4.33206930409798, -0.00620791943122168
-0.0259375, -0.0390625, 1e-12, 4.33623682212637, -0.00629325460345178
-0.0253125, -0.0390625, 1e-12, 4.34046109386616, -0.00637719350852495
-0.0246875, -0.0390625, 1e-12, 4.34474095241876, -0.0064589779564041
-0.0240625, -0.0390625, 1e-12, 4.34907471242945, -0.00653781303709821
-0.0234375, -0.0390625, 1e-12, 4.35346014601824, -0.00661286907893963
-0.0228125, -0.0390625, 1e-12, 4.3578944601854, -0.0066832841722709
-0.0221875, -0.0390625, 1e-12, 4.3623742760846, -0.006748167299992
-0.0215625, -0.0390625, 1e-12, 4.36689561058274, -0.00680660211092211
-0.0209375, -0.0390625, 1e-12, 4.37145386054839, -0.00685765136506512
-0.0203125, -0.0390625, 1e-12, 4.37604379032763, -0.00690036207140572
-0.0396875, -0.0384375, 1e-12, 4.256126744054, -0.00837664475582852
-0.0390625, -0.0384375, 1e-12, 4.25892678328973, -0.0083868978404254
-0.0384375, -0.0384375, 1e-12, 4.26227749993794, -0.00840736249526599
-0.0378125, -0.0384375, 1e-12, 4.26563851174221, -0.00843795543794718
-0.0371875, -0.0384375, 1e-12, 4.26901387906332, -0.00847855111406025
-0.0365625, -0.0384375, 1e-12, 4.27240760412674, -0.00852898094990353
-0.0359375, -0.0384375, 1e-12, 4.27582361379918, -0.00858903237227139
-0.0353125, -0.0384375, 1e-12, 4.27926574191657, -0.00865844760954429
-0.0346875, -0.0384375, 1e-12, 4.28273771107625, -0.00873692229198942
-0.0340625, -0.0384375, 1e-12, 4.28624311381416, -0.00882410387331826
-0.0334375, -0.0384375, 1e-12, 4.28978539309743, -0.00891958989968219
-0.0328125, -0.0384375, 1e-12, 4.29336782207371, -0.0090229261567663
-0.0321875, -0.0384375, 1e-12, 4.29699348303179, -0.00913360473027571
-0.0315625, -0.0384375, 1e-12, 4.30066524554303, -0.00925106201991119
-0.0309375, -0.0384375, 1e-12, 4.30438574376978, -0.00937467675202212
-0.0303125, -0.0384375, 1e-12, 4.30815735294642, -0.00950376804118221
-0.0296875, -0.0384375, 1e-12, 4.31198216505934, -0.00963759355615944
-0.0290625, -0.0384375, 1e-12, 4.31586196377581, -0.00977534785095743
-0.0284375, -0.0384375, 1e-12, 4.31979819869687, -0.00991616092659601
-0.0278125, -0.0384375, 1e-12, 4.32379195903711, -0.0100590970941051
-0.0271875, -0.0384375, 1e-12, 4.32784394686346, -0.0102031542135984
-0.0265625, -0.0384375, 1e-12, 4.33195445005643, -0.0103472633880738
-0.0259375, -0.0384375, 1e-12, 4.33612331519021, -0.0104902891935484
-0.0253125, -0.0384375, 1e-12, 4.34034992056152, -0.0106310305292752
-0.0246875, -0.0384375, 1e-12, 4.34463314963238, -0.0107682221724239
-0.0240625, -0.0384375, 1e-12, 4.3489713651865, -0.0109005371210713
-0.0234375, -0.0384375, 1e-12, 4.35336238453355, -0.0110265898068708
-0.0228125, -0.0384375, 1e-12, 4.35780345612911, -0.0111449402545121
